Distance[fm];Reid;Hard;Fine;ReidRepel*0.55;ReidAttrac;Fbufallo
3.625;-63.4568;-0;-70.1258;0.0225087;-63.4978;-70.1033
3.65;-61.2042;-0;-66.717;0.01977;-61.2402;-66.6972
3.675;-59.059;-0;-63.452;0.0173654;-59.0905;-63.4347
3.7;-57.0146;-0;-60.3248;0.015254;-57.0423;-60.3095
3.725;-55.0651;-0;-57.3294;0.0134;-55.0895;-57.316
3.75;-53.2049;-0;-54.4605;0.011772;-53.2263;-54.4487
3.775;-51.4287;-0;-51.7127;0.0103422;-51.4475;-51.7024
3.8;-49.7318;-0;-49.0812;0.00908657;-49.7483;-49.0721
3.825;-48.1094;-0;-46.5613;0.00798374;-48.1239;-46.5533
3.85;-46.5575;-0;-44.1485;0.00701509;-46.5702;-44.1414
3.875;-45.072;-0;-41.8385;0.00616425;-45.0832;-41.8323
3.9;-43.6492;-0;-39.6274;0.00541685;-43.659;-39.622
3.925;-42.2857;-0;-37.5114;0.00476029;-42.2944;-37.5066
3.95;-40.9783;-0;-35.4868;0.00418349;-40.9859;-35.4826
3.975;-39.7239;-0;-33.5502;0.00367674;-39.7306;-33.5466
4;-38.5198;-0;-31.6984;0.00323152;-38.5257;-31.6951
